,Total,,Men,Women,Men,Women,,
,Number of workers,Median weekly earnings,Median weekly earnings,Median weekly earnings,Salary,Salary,,
Driver/sales workers and truck drivers,"2,658",732,739,545,38428,28340,,
Medical assistants,412,546,-,539,,28028,,
Dental assistants,185,535,-,535,,27820,,
Receptionists and information clerks,910,540,616,532,32032,27664,,
Chefs and head cooks,364,590,601,531,31252,27612,,
Phlebotomists,103,533,-,526,,27352,,
Recreation and fitness workers,167,599,716,521,37232,27092,,
Security guards and gaming surveillance officers,710,569,589,514,30628,26728,,
Stock clerks and order fillers,995,508,504,514,26208,26728,,
"Metal workers and plastic workers, all other",333,624,647,511,33644,26572,,
Transportation and material moving occupations,"6,845",637,664,510,34528,26520,,
"Natural resources, construction, and maintenance occupations","10,763",756,764,509,39728,26468,,
Tellers,284,510,544,507,28288,26364,,
"Electrical, electronics, and electromechanical assemblers",159,547,598,506,31096,26312,,
Miscellaneous assemblers and fabricators,926,592,633,506,32916,26312,,
"Production, transportation, and material moving occupations","14,326",642,689,504,35828,26208,,
Production occupations,"7,481",646,711,502,36972,26104,,
First-line supervisors of housekeeping and janitorial workers,153,596,720,500,37440,26000,,
"Food servers, nonrestaurant",111,502,-,495,,25740,,
Teacher assistants,545,498,580,494,30160,25688,,
"Miscellaneous healthcare support occupations, including medical equipment preparers",123,509,-,493,,25636,,
Healthcare support occupations,"2,368",498,560,492,29120,25584,,
"Production workers, all other",850,621,676,492,35152,25584,,
Retail salespersons,"1,870",596,698,491,36296,25532,,
First-line supervisors of food preparation and serving workers,403,516,583,485,30316,25220,,
Packaging and filling machine operators and tenders,239,490,522,477,27144,24804,,
"Hairdressers, hairstylists, and cosmetologists",284,482,-,476,,24752,,
"Laborers and freight, stock, and material movers, hand","1,358",533,546,476,28392,24752,,
Bakers,148,492,518,469,26936,24388,,
"Nursing, psychiatric, and home health aides","1,364",472,528,466,27456,24232,,
Service occupations,"15,019",505,583,461,30316,23972,,
Bartenders,216,522,634,459,32968,23868,,
"Butchers and other meat, poultry, and fish processing workers",287,512,537,457,27924,23764,,
Personal care and service occupations,"2,326",487,607,455,31564,23660,,
Nonfarm animal caretakers,89,489,-,452,,23504,,
Childcare workers,406,442,-,444,,23088,,
Sewing machine operators,114,440,-,432,,22464,,
Personal care aides,667,434,465,425,24180,22100,,
Miscellaneous personal appearance workers,166,432,-,422,,21944,,
Dining room and cafeteria attendants and bartender helpers,151,451,509,420,26468,21840,,
Food preparation and serving related occupations,"4,017",439,463,419,24076,21788,,
"Hosts and hostesses, restaurant, lounge, and coffee shop",62,433,-,418,,21736,,
"Hotel, motel, and resort desk clerks",82,426,-,417,,21684,,
Waiters and waitresses,826,436,501,415,26052,21580,,
Janitors and building cleaners,"1,598",502,540,415,28080,21580,,
Building and grounds cleaning and maintenance occupations,"3,568",480,517,413,26884,21476,,
Laundry and dry-cleaning workers,128,417,-,410,,21320,,
Cooks,"1,166",413,416,405,21632,21060,,
Food preparation workers,359,406,411,401,21372,20852,,
Maids and housekeeping cleaners,816,401,404,400,21008,20800,,
"Packers and packagers, hand",347,413,459,395,23868,20540,,
Cashiers,"1,305",394,412,387,21424,20124,,
"Graders and sorters, agricultural products",98,389,-,386,,20072,,
"Farming, fishing, and forestry occupations",776,429,457,375,23764,19500,,
"Combined food preparation and serving workers, including fast food",169,379,384,373,19968,19396,,
Miscellaneous agricultural workers,569,421,437,369,22724,19188,,
,,,,,0,0,,
,,,,,0,0,,
,,,,,0,0,,
,,,,,0,0,,
,,,,,,,,
Legislators,16,-,-,-,,,,
Advertising and promotions managers,47,-,-,-,,,,
Public relations and fundraising managers,69,"1,344",-,-,,,,
Administrative services managers,114,"1,163","1,165",-,60580,,,
Compensation and benefits managers,16,-,-,-,,,,
Training and development managers,40,-,-,-,,,,
Industrial production managers,263,"1,331","1,383",-,71916,,,
"Farmers, ranchers, and other agricultural managers",106,812,818,-,42536,,,
Construction managers,428,"1,304","1,332",-,69264,,,
Architectural and engineering managers,110,"1,945","1,975",-,102700,,,
Funeral service managers,7,-,-,-,,,,
Gaming managers,15,-,-,-,,,,
Natural sciences managers,18,-,-,-,,,,
Postmasters and mail superintendents,29,-,-,-,,,,
Emergency management directors,7,-,-,-,,,,
"Agents and business managers of artists, performers, and athletes",35,-,-,-,,,,
"Buyers and purchasing agents, farm products",12,-,-,-,,,,
Cost estimators,97,"1,059","1,074",-,55848,,,
"Compensation, benefits, and job analysis specialists",66,"1,022",-,-,,,,
Logisticians,83,946,-,-,,,,
Appraisers and assessors of real estate,51,"1,009",-,-,,,,
Budget analysts,44,-,-,-,,,,
Credit analysts,24,-,-,-,,,,
Financial examiners,16,-,-,-,,,,
"Tax examiners and collectors, and revenue agents",60,"1,183",-,-,,,,
Tax preparers,51,904,-,-,,,,
"Financial specialists, all other",79,949,-,-,,,,
Computer and information research scientists,27,-,-,-,,,,
Information security analysts,55,"1,419",-,-,,,,
Database administrators,101,"1,517","1,662",-,86424,,,
Network and computer systems administrators,204,"1,263","1,286",-,66872,,,
Computer network architects,126,"1,633","1,650",-,85800,,,
Actuaries,29,-,-,-,,,,
Mathematicians,2,-,-,-,,,,
Statisticians,78,"1,349",-,-,,,,
Miscellaneous mathematical science occupations,6,-,-,-,,,,
"Architects, except naval",122,"1,329","1,391",-,72332,,,
"Surveyors, cartographers, and photogrammetrists",33,-,-,-,,,,
Aerospace engineers,143,"1,642","1,727",-,89804,,,
Agricultural engineers,5,-,-,-,,,,
Biomedical engineers,12,-,-,-,,,,
Chemical engineers,75,"1,465","1,570",-,81640,,,
Computer hardware engineers,79,"1,744","1,795",-,93340,,,
Electrical and electronics engineers,271,"1,572","1,568",-,81536,,,
Environmental engineers,40,-,-,-,,,,
"Industrial engineers, including health and safety",187,"1,404","1,464",-,76128,,,
Marine engineers and naval architects,7,-,-,-,,,,
Materials engineers,33,-,-,-,,,,
Mechanical engineers,286,"1,434","1,453",-,75556,,,
"Mining and geological engineers, including mining safety engineers",18,-,-,-,,,,
Nuclear engineers,5,-,-,-,,,,
Petroleum engineers,36,-,-,-,,,,
"Engineers, all other",362,"1,463","1,488",-,77376,,,
Drafters,122,979,986,-,51272,,,
Surveying and mapping technicians,56,879,882,-,45864,,,
Agricultural and food scientists,26,-,-,-,,,,
Biological scientists,94,"1,152","1,356",-,70512,,,
Conservation scientists and foresters,25,-,-,-,,,,
"Life scientists, all other",0,-,-,-,,,,
Astronomers and physicists,8,-,-,-,,,,
Atmospheric and space scientists,7,-,-,-,,,,
Chemists and materials scientists,98,"1,251","1,369",-,71188,,,
Environmental scientists and geoscientists,72,"1,358","1,388",-,72176,,,
